Node_ID,Node_Type,Trust_Value,Detection_Confidence,Energy,Packets_Forwarded,Packets_Dropped,RREQ_Forwarded,RREP_Forwarded,Forwarding_Ratio,Control_Packet_Ratio,Sequence_Number_Difference,Reply_Count,Suspicious_Activities,Trust_Stability
Node_105,Normal,0.41,0.27,0.71,470,90,8,10,0.68,0.17,27,16,2,0.67
Node_106,Normal,0.34,0.57,0.93,395,82,3,20,0.86,0.18,31,9,1,0.97
Node_107,Normal,0.62,0.4,0.97,394,85,1,7,0.49,0.48,92,15,2,0.39
Node_108,Normal,0.54,0.53,0.33,235,48,9,13,0.62,0.26,63,35,0,0.47
Node_109,Confirmed Black Hole,0.01,0.67,0.89,446,216,8,3,0.29,0.39,50,19,8,0.54
Node_110,Normal,0.32,0.46,0.93,138,28,15,17,0.25,0.33,34,22,1,0.65
Node_111,Normal,0.5,0.15,0.62,82,24,2,3,0.13,0.01,37,34,0,0.31
Node_112,Normal,0.39,0.58,0.28,98,12,20,22,0.9,0.27,7,33,0,0.6
Node_113,Normal,0.24,0.1,0.42,424,100,2,22,0.37,0.22,77,14,1,0.87
Node_114,Normal,0.83,0.51,0.33,363,83,3,40,0.82,0.15,31,46,1,0.94
Node_115,Normal,0.71,0.57,0.63,233,0,17,8,0.64,0.28,37,13,0,0.43
Node_116,Normal,0.83,0.4,0.98,74,34,6,13,0.23,0.3,99,36,1,0.65
Node_117,Normal,0.34,0.85,0.48,270,81,11,21,0.14,0.22,81,26,1,0.88
Node_118,Suspicious,0.64,0.3,0.42,150,48,9,6,0.98,0.27,49,3,4,0.38
Node_119,Normal,0.85,0.79,0.81,271,31,7,22,0.72,0.17,83,43,1,0.48
Node_120,Normal,0.19,0.51,0.64,103,6,6,2,0.92,0.38,10,19,2,0.86
Node_121,Normal,0.53,0.58,0.27,410,17,0,18,0.72,0.21,49,20,1,0.53
Node_122,Normal,0.32,0.15,0.86,173,7,19,26,0.73,0.36,57,20,0,0.33
Node_123,Normal,0.46,0.16,0.11,209,98,11,16,0.96,0.1,36,27,2,0.44
Node_124,Normal,0.85,0.61,0.96,109,62,18,1,0.69,0.33,16,47,0,0.33
Node_125,Suspicious,0.77,0.88,0.65,8,378,5,29,0.23,0.13,9,8,5,0.49
Node_126,Normal,0.41,0.12,0.95,81,16,12,28,0.77,0.24,52,5,1,0.9
Node_127,Normal,0.62,0.68,0.3,28,91,12,37,0.43,0.29,39,46,0,0.79
Node_128,Normal,0.53,0.53,0.46,232,98,16,30,0.96,0.1,27,45,1,0.85
Node_129,Normal,0.3,0.24,0.82,209,15,3,12,0.47,0.49,14,0,1,0.76
Node_130,Normal,0.49,0.24,0.17,438,52,15,15,0.51,0.35,13,32,1,0.87
Node_131,Normal,0.57,0.19,0.56,343,97,2,32,0.42,0.3,63,9,0,0.31
Node_132,Normal,0.11,0.16,0.11,330,44,19,37,0.58,0.39,17,2,2,0.49
Node_133,Normal,0.23,0.11,0.4,445,32,2,40,0.15,0.27,80,14,2,0.96
Node_134,Normal,0.79,0.85,0.96,221,75,1,16,0.6,0.11,73,11,1,0.76
Node_135,Normal,0.36,0.8,0.34,390,41,19,13,0.48,0.31,69,20,1,0.81
Node_136,Normal,0.14,0.29,0.24,438,55,19,20,0.16,0.12,5,3,0,0.74
Node_137,Normal,0.72,0.75,0.78,471,8,7,29,0.99,0.02,94,13,0,0.53
Node_138,Normal,0.42,0.85,0.45,465,65,17,4,0.59,0.05,22,30,0,0.63
Node_139,Normal,0.6,0.34,0.85,190,27,17,12,0.71,0.13,63,46,2,0.46
Node_140,Normal,0.12,0.76,0.69,430,99,4,8,0.2,0.33,24,40,0,0.37
Node_141,Normal,0.55,0.6,0.56,206,69,2,12,0.16,0.44,34,19,2,0.72
Node_142,Normal,0.84,0.19,0.67,359,96,12,29,0.56,0.32,7,5,2,1.0
Node_143,Normal,0.35,0.27,0.86,322,66,1,30,0.29,0.47,100,30,2,0.36
Node_144,Normal,0.69,0.27,0.12,204,24,4,30,0.72,0.04,9,13,1,0.46
Node_145,Normal,0.44,0.2,0.29,107,27,18,25,0.44,0.46,75,16,2,0.33
Node_146,Suspicious,0.26,0.1,0.15,207,258,4,10,0.8,0.19,78,43,8,0.3
Node_147,Normal,0.41,0.16,0.1,64,71,5,8,0.82,0.46,79,24,1,0.66
Node_148,Normal,0.72,0.74,0.35,252,2,13,19,0.73,0.24,3,19,2,0.31
Node_149,Suspicious,0.71,0.29,0.34,344,244,11,32,0.22,0.15,33,35,10,0.27
Node_150,Normal,0.59,0.13,0.75,306,85,15,19,0.14,0.02,18,24,1,0.52
Node_151,Normal,0.55,0.87,0.2,202,30,7,3,0.13,0.47,81,9,0,0.44
Node_152,Normal,0.34,0.69,0.97,318,0,3,27,0.58,0.42,78,50,2,0.62
Node_153,Normal,0.27,0.1,0.87,440,11,8,25,0.43,0.09,86,22,1,0.74
Node_154,Normal,0.86,0.18,0.89,58,44,13,25,0.59,0.46,61,30,0,0.89
Node_155,Normal,0.22,0.74,0.33,307,96,18,29,0.55,0.35,17,8,0,0.46
Node_156,Suspicious,0.37,0.26,0.71,461,231,0,21,0.83,0.13,38,44,2,0.51
Node_157,Normal,0.89,0.67,0.44,401,31,1,37,0.34,0.21,21,18,2,0.74
Node_158,Normal,0.59,0.74,0.16,307,21,4,7,0.93,0.1,62,4,1,0.56
Node_159,Normal,0.26,0.78,0.11,163,26,10,37,0.14,0.36,21,24,1,0.49
Node_160,Normal,0.25,0.67,0.27,315,33,16,18,0.23,0.15,80,10,1,0.6
Node_161,Normal,0.72,0.31,0.85,12,24,19,40,0.52,0.19,78,4,2,0.91
Node_162,Normal,0.59,0.63,0.43,213,76,8,4,0.87,0.23,9,24,1,0.4
Node_163,Normal,0.79,0.54,0.84,65,73,6,37,0.77,0.39,52,44,1,0.65
Node_164,Normal,0.76,0.77,0.94,74,73,4,30,0.21,0.5,37,24,2,0.5
Node_165,Normal,0.47,0.46,0.96,145,78,4,4,0.34,0.27,49,10,2,0.62
Node_166,Normal,0.66,0.86,0.92,15,43,11,16,0.81,0.42,14,19,0,0.54
Node_167,Normal,0.89,0.36,0.51,289,97,20,40,0.98,0.38,13,50,0,0.49
Node_168,Normal,0.49,0.31,0.6,34,15,9,13,0.18,0.12,52,24,0,1.0
Node_169,Normal,0.25,0.15,0.86,471,11,6,15,0.86,0.19,63,37,0,0.55
Node_170,Normal,0.29,0.19,0.15,19,61,11,30,0.65,0.2,56,48,2,0.65
Node_171,Normal,0.77,0.36,0.8,163,62,13,20,0.35,0.49,13,8,1,0.57
Node_172,Normal,0.55,0.67,0.78,225,96,9,32,0.26,0.47,57,7,0,0.42
Node_173,Suspicious,0.6,0.21,0.6,254,231,4,32,0.85,0.11,48,12,8,0.6
Node_174,Normal,0.39,0.55,0.82,292,26,13,9,0.73,0.34,25,43,2,0.63
Node_175,Normal,0.12,0.29,0.57,425,37,3,37,0.23,0.34,84,38,1,0.5
Node_176,Normal,0.18,0.32,0.89,148,62,7,16,0.51,0.26,38,30,1,0.63
Node_177,Normal,0.43,0.51,0.1,400,99,2,9,0.9,0.08,19,37,2,0.31
Node_178,Normal,0.17,0.48,0.68,345,11,18,1,0.18,0.04,21,45,1,0.46
Node_179,Confirmed Black Hole,0.18,0.54,0.9,163,470,1,13,0.12,0.12,35,9,10,0.43
Node_180,Normal,0.24,0.27,0.56,327,29,8,22,0.2,0.34,94,9,2,0.78
Node_181,Normal,0.32,0.8,0.74,436,88,10,8,0.32,0.32,21,27,1,0.89
Node_182,Normal,0.67,0.74,1.0,225,59,3,4,0.42,0.07,80,48,1,0.9
Node_183,Suspicious,0.28,0.64,0.85,468,15,12,36,0.87,0.44,71,23,5,0.44
Node_184,Confirmed Black Hole,0.15,0.74,0.5,373,203,17,1,0.84,0.24,3,30,7,0.28
Node_185,Normal,0.27,0.46,0.99,144,86,18,12,0.33,0.26,100,17,2,0.94
Node_186,Normal,0.64,0.6,0.48,336,66,5,26,0.49,0.49,77,3,2,0.67
Node_187,Normal,0.58,0.52,0.62,232,29,12,40,0.25,0.05,9,18,0,0.45
Node_188,Normal,0.28,0.24,0.41,45,97,6,31,0.36,0.14,45,9,1,0.54
Node_189,Normal,0.19,0.73,0.73,128,0,17,40,0.68,0.3,25,48,1,0.66
Node_190,Suspicious,0.21,0.15,0.12,322,422,10,8,0.77,0.41,43,42,1,0.48
Node_191,Normal,0.51,0.78,0.99,424,99,20,7,0.19,0.27,20,48,2,0.37
Node_192,Normal,0.24,0.65,0.17,258,49,14,34,1.0,0.37,23,12,2,0.3
Node_193,Normal,0.87,0.12,0.79,369,38,0,34,0.37,0.44,7,40,1,0.67
Node_194,Normal,0.33,0.37,0.55,165,22,11,24,0.8,0.42,62,6,1,0.39
Node_195,Normal,0.75,0.87,0.72,253,38,14,36,0.95,0.28,7,26,1,0.92
Node_196,Normal,0.18,0.46,0.5,220,0,2,33,0.78,0.25,21,9,2,0.71
Node_197,Normal,0.88,0.22,0.76,425,59,10,38,0.39,0.36,74,44,0,0.58
Node_198,Suspicious,0.44,0.54,0.87,3,494,8,3,0.9,0.41,3,0,5,0.11
Node_199,Normal,0.36,0.71,0.81,230,93,2,26,0.93,0.08,38,50,2,0.71
Node_200,Suspicious,0.13,0.65,0.52,2,122,0,21,0.21,0.38,37,17,7,0.11
Node_201,Normal,0.8,0.41,0.73,261,28,5,2,0.4,0.09,65,37,1,0.66
Node_202,Normal,0.17,0.6,0.55,486,81,18,10,0.4,0.48,74,24,2,0.8
Node_203,Normal,0.63,0.27,0.84,198,50,6,26,0.31,0.34,93,29,0,0.62
Node_204,Normal,0.34,0.32,0.43,441,25,4,8,0.61,0.21,45,26,1,0.51
Node_205,Confirmed Black Hole,0.13,0.88,0.36,420,158,0,7,0.76,0.03,76,50,5,0.41
Node_206,Suspicious,0.39,0.58,0.43,351,150,9,20,0.4,0.14,60,35,6,0.54
Node_207,Normal,0.31,0.42,0.13,181,65,18,35,0.81,0.28,85,25,2,0.79
Node_208,Normal,0.56,0.28,0.91,59,29,16,32,0.65,0.29,21,20,0,0.66
Node_209,Normal,0.41,0.43,0.56,300,48,15,38,0.51,0.09,24,25,0,0.9
Node_210,Normal,0.64,0.55,0.8,140,97,13,2,0.17,0.29,75,9,2,0.62
Node_211,Suspicious,0.48,0.81,0.73,269,245,7,13,0.17,0.33,56,27,0,0.57
Node_212,Normal,0.31,0.2,0.61,384,36,1,37,0.26,0.02,95,17,0,0.34
Node_213,Suspicious,0.34,0.52,0.24,48,378,7,24,0.78,0.17,36,45,3,0.22
Node_214,Normal,0.76,0.44,0.43,210,56,20,31,0.81,0.17,3,0,1,1.0
Node_215,Normal,0.47,0.74,0.48,320,75,13,23,0.74,0.4,80,17,1,0.78
Node_216,Normal,0.63,0.54,0.2,470,86,16,8,0.78,0.22,1,40,1,0.76
Node_217,Suspicious,0.11,0.81,0.7,138,382,11,10,0.4,0.36,6,0,7,0.43
Node_218,Suspicious,0.29,0.32,0.84,329,182,1,20,1.0,0.27,91,39,4,0.11
Node_219,Normal,0.65,0.38,0.66,270,68,13,38,0.86,0.27,70,1,2,0.78
Node_220,Normal,0.85,0.38,0.93,148,65,11,11,0.95,0.15,44,26,1,0.41
Node_221,Normal,0.67,0.45,0.8,337,78,3,40,0.81,0.5,71,42,1,0.77
Node_222,Normal,0.27,0.9,0.46,92,4,16,20,0.17,0.25,27,10,1,0.4
Node_223,Suspicious,0.62,0.88,0.99,446,457,12,12,0.12,0.05,0,27,4,0.36
Node_224,Normal,0.69,0.18,0.44,251,39,12,4,0.74,0.45,47,20,0,0.56
Node_225,Normal,0.28,0.56,0.82,125,59,0,21,0.75,0.23,97,28,1,0.88
Node_226,Normal,0.65,0.89,0.27,16,93,10,9,0.79,0.31,7,28,1,1.0
Node_227,Suspicious,0.63,0.49,0.85,4,295,20,17,0.89,0.44,29,36,6,0.47
Node_228,Normal,0.23,0.41,0.72,293,83,4,5,0.74,0.45,90,29,0,0.38
Node_229,Normal,0.29,0.73,0.74,260,69,1,6,0.74,0.4,31,1,0,0.86
Node_230,Normal,0.6,0.35,0.84,90,27,17,22,0.57,0.1,44,2,1,0.58
Node_231,Normal,0.47,0.6,0.55,15,62,7,23,0.3,0.48,94,30,2,0.43
Node_232,Normal,0.21,0.2,0.8,469,19,20,32,0.89,0.06,88,11,0,0.62
Node_233,Normal,0.46,0.41,0.71,114,2,9,9,0.18,0.41,52,5,2,0.43
Node_234,Suspicious,0.75,0.78,0.75,346,194,7,18,0.84,0.24,55,3,3,0.23
Node_235,Normal,0.87,0.12,0.8,260,25,19,30,0.89,0.42,70,11,0,0.64
Node_236,Normal,0.23,0.14,0.13,308,43,15,10,0.37,0.2,15,45,0,0.87
Node_237,Normal,0.15,0.11,0.78,385,45,17,39,0.96,0.19,57,44,1,0.91
Node_238,Normal,0.19,0.5,0.98,51,85,3,39,0.22,0.12,96,18,0,0.89
Node_239,Normal,0.5,0.44,0.92,45,18,0,28,0.7,0.36,31,16,0,0.69
Node_240,Normal,0.82,0.67,0.42,359,89,15,6,0.43,0.31,82,37,0,0.7
Node_241,Normal,0.3,0.31,0.37,318,91,2,19,0.6,0.1,8,20,2,0.74
Node_242,Suspicious,0.65,0.36,0.23,140,267,7,34,0.37,0.16,28,28,9,0.53
Node_243,Normal,0.73,0.61,0.44,313,61,8,37,0.43,0.19,12,40,1,0.56
Node_244,Normal,0.22,0.17,0.34,115,14,18,37,0.62,0.39,6,25,1,0.76
Node_245,Suspicious,0.78,0.5,0.99,269,94,16,25,0.15,0.25,6,49,9,0.28
Node_246,Normal,0.78,0.52,0.15,221,56,14,23,0.57,0.16,22,39,0,0.94
Node_247,Suspicious,0.11,0.78,0.58,465,324,14,9,0.19,0.15,77,41,6,0.45
Node_248,Normal,0.12,0.51,0.77,152,64,15,9,0.17,0.28,44,39,2,0.46
Node_249,Normal,0.88,0.27,0.48,74,93,14,23,0.39,0.25,37,26,2,0.92
Node_250,Normal,0.26,0.75,0.41,252,61,1,6,0.51,0.19,16,27,0,0.36
Node_251,Suspicious,0.27,0.19,0.96,404,500,15,1,0.33,0.32,16,9,6,0.35
Node_252,Normal,0.88,0.62,0.17,211,77,3,24,0.81,0.3,35,43,0,0.65
Node_253,Suspicious,0.81,0.28,0.67,341,386,17,20,0.46,0.26,20,13,0,0.39
Node_254,Normal,0.87,0.59,0.18,318,28,3,9,0.27,0.33,17,13,2,0.96
Node_255,Suspicious,0.69,0.8,0.91,33,383,14,26,0.89,0.41,89,6,6,0.54
Node_256,Normal,0.31,0.83,0.84,441,98,13,11,0.77,0.23,8,7,0,0.63
Node_257,Normal,0.35,0.4,0.71,389,61,16,22,0.59,0.27,64,43,0,0.87
Node_258,Normal,0.31,0.77,0.61,102,29,2,19,0.19,0.32,30,16,0,0.95
Node_259,Normal,0.7,0.26,0.22,341,32,16,12,0.72,0.45,49,37,0,0.34
Node_260,Normal,0.46,0.74,0.58,269,68,4,25,0.82,0.22,83,39,0,0.82
Node_261,Normal,0.16,0.16,0.23,79,32,9,34,0.78,0.48,22,47,2,0.46
Node_262,Normal,0.44,0.73,0.65,405,97,20,36,0.35,0.1,75,1,1,0.75
Node_263,Normal,0.21,0.58,0.44,390,31,1,31,0.37,0.2,74,48,1,0.34
Node_264,Normal,0.49,0.38,0.48,125,80,19,33,0.15,0.25,24,23,1,0.71
Node_265,Normal,0.66,0.85,0.74,82,66,15,7,0.37,0.34,46,46,1,0.98
Node_266,Normal,0.82,0.11,0.13,182,32,17,37,0.36,0.16,11,1,1,0.86
Node_267,Normal,0.75,0.44,0.32,234,0,2,29,0.19,0.02,89,1,2,0.95
Node_268,Normal,0.47,0.27,0.45,100,94,18,8,0.67,0.28,72,1,1,0.32
Node_269,Normal,0.87,0.36,0.17,360,91,1,4,0.67,0.28,5,14,2,0.46
Node_270,Suspicious,0.22,0.37,0.79,469,217,3,25,0.61,0.18,31,29,4,0.39
Node_271,Normal,0.32,0.54,0.89,234,48,9,31,0.46,0.12,31,17,1,0.65
Node_272,Normal,0.77,0.51,0.56,209,33,3,29,0.15,0.46,32,24,0,0.92
Node_273,Normal,0.88,0.74,0.8,117,4,6,10,0.8,0.37,78,43,0,0.57
Node_274,Normal,0.64,0.62,0.16,190,46,11,19,0.41,0.39,59,6,1,0.67
Node_275,Normal,0.8,0.74,0.83,348,86,7,10,0.88,0.47,59,49,0,0.39
Node_276,Normal,0.76,0.54,0.86,371,19,16,22,0.47,0.31,90,42,2,0.44
Node_277,Confirmed Black Hole,0.13,0.77,0.81,175,290,15,1,0.22,0.43,43,18,10,0.1
Node_278,Normal,0.11,0.52,0.85,226,25,19,10,0.17,0.15,59,37,2,0.48
Node_279,Normal,0.34,0.22,0.95,390,0,3,35,0.26,0.38,63,49,1,0.78
Node_280,Confirmed Black Hole,0.2,0.57,0.9,265,206,11,34,0.83,0.08,42,17,0,0.48
Node_281,Normal,0.11,0.4,0.44,131,20,11,38,0.24,0.23,37,41,2,0.7
Node_282,Normal,0.9,0.54,0.68,237,63,5,12,0.71,0.21,94,24,0,0.37
Node_283,Normal,0.61,0.39,0.62,415,84,5,24,0.65,0.49,59,17,2,0.92
Node_284,Normal,0.44,0.24,0.6,395,55,12,34,0.51,0.41,13,0,0,0.94
Node_285,Normal,0.16,0.54,0.55,74,17,13,32,0.55,0.44,50,33,1,0.99
Node_286,Confirmed Black Hole,0.19,0.17,0.57,72,146,18,13,0.66,0.49,61,26,2,0.4
Node_287,Normal,0.84,0.7,0.62,253,71,0,34,0.99,0.21,55,13,0,0.45
Node_288,Suspicious,0.45,0.65,0.18,250,377,19,28,0.46,0.36,69,20,8,0.59
